title,date.start_date,date.when,address,venue.name,link,description,thumbnail,ticket_info,image,event_location_map.image,event_location_map.link,event_location_map.serpapi_link,venue.rating,venue.reviews,venue.link
London Ontario Open House,Sep 21,"Sun, Sep 21, 3:00 p.m.","['Springbank Gardens Community Centre, 205 Wonderland Rd S', 'London, ON']",Springbank Gardens Community Centre,https://allevents.in/london/london-ontario-open-house/200028665166408,We’re excited to announce the launch of the Toronto Tabla Ensemble’s London Branch this September—and even more excited to be collaborating with the Forest City London Music Awards and the Digital...,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS-7WB95UigqCJlruhQE6I52NJ-4TYUEnkyPCdNiH4so1DM7SjweJZX_j8&s,"[{'source': 'AllEvents', 'link': 'https://allevents.in/london/london-ontario-open-house/200028665166408', 'link_type': 'more info'}]",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQuSNOcbVPLWqdULBnZ9IDDUmTJoJwOmXFZVMKcsg8UrQ&s=10,https://www.google.com/maps/vt/data=yiT5L11SlrGMhArOegq0yMxoojvy8Lgmpi9pKm5ZgFXyC-h7lGJrFBtc8_dc7XmJ7gfrFJe0iS7aN0Mk84LJpGMVe40h7Kb_xzLwwTuG51RgNRB6qQc,https://www.google.com/maps/place//data=!4m2!3m1!1s0x882ef1acf05300bb:0x56a79b1d59340ccf?sa=X&ved=2ahUKEwjQrrqtxumPAxXupIkEHdYkKrwQ9eIBegQIAhAA&hl=en&gl=ca,https://serpapi.com/search.json?data=%214m2%213m1%211s0x882ef1acf05300bb%3A0x56a79b1d59340ccf&engine=google_maps&gl=ca&google_domain=google.com&hl=en&q=events+in+London%2C+Ontario&start=0&type=place,4.6,232.0,"https://www.google.com/search?sca_esv=fba13440f52890fe&gl=ca&hl=en&q=Springbank+Gardens+Community+Centre&ludocid=6244129958725422287&ibp=gwp%3B0,7"
Tom Hilborn Celebration,Sep 21,"Sun, Sep 21, 1:00–6:00 p.m.","['Palasad SocialBowl, 777 Adelaide St N', 'London, ON']",Palasad SocialBowl,https://www.londontourism.ca/events/tom-hilborn-celebration,"Tom Hilborn Celebration at Palasad Socialbowl on Sunday, September 21, 2025, in London Ontario.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRAmKqApNLXmHp5R_vvYq0dgEokOlyO3iDW8t47b3HxYHJsCd4Usp29WYQ&s,"[{'source': 'London Tourism', 'link': 'https://www.londontourism.ca/events/tom-hilborn-celebration', 'link_type': 'more info'}, {'source': 'Facebook', 'link': 'https://www.facebook.com/events/palasad-socialbowl/tom-hilborn-celebration/1363044618319743/', 'link_type': 'more info'}, {'source': 'AllEvents', 'link': 'https://allevents.in/london/tom-hilborn-celebration/200028351922232', 'link_type': 'more info'}]",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSf4StBPLdEpOk-ttV65lGPCEpIFGSYB5WoVqePJ_YILA&s,https://www.google.com/maps/vt/data=LZJ5PqSTlrBnmN0C5QUFb8dUPobzgZdvpnQQ5rzkr3p6yJBU50bgkTB86FNs8MzZ6uDVLi3iN4GbN9E8dz3dJErOvFzL1YGcON8IJmlMikVXTjTlYrU,https://www.google.com/maps/place//data=!4m2!3m1!1s0x882eedf1070a369f:0x6b705d5410cd1517?sa=X&ved=2ahUKEwjQrrqtxumPAxXupIkEHdYkKrwQ9eIBegQIChAA&hl=en&gl=ca,https://serpapi.com/search.json?data=%214m2%213m1%211s0x882eedf1070a369f%3A0x6b705d5410cd1517&engine=google_maps&gl=ca&google_domain=google.com&hl=en&q=events+in+London%2C+Ontario&start=0&type=place,4.3,2373.0,"https://www.google.com/search?sca_esv=fba13440f52890fe&gl=ca&hl=en&q=Palasad+SocialBowl&ludocid=7741790375090394391&ibp=gwp%3B0,7"
Disney's Newsies,Sep 21,"Sun, Sep 21, 2:00 p.m.","['Grand Theatre, 471 Richmond St', 'London, ON']",Grand Theatre,https://www.stubhub.com/disney-newsies-london-tickets-9-20-2025/event/158617556/,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT6alVUX3fv7BAI-gMGWlDaRjbN7j3k9iLEuAL94uJEIhH15oIqsGVgmUw&s,"[{'source': 'Stubhub.com', 'link': 'https://www.stubhub.com/disney-newsies-london-tickets-9-20-2025/event/158617556/', 'link_type': 'tickets'}]",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTj1MlmiTC81jJuz_RZFxmQlK8MWi9DYKgAvjO-KoIc1Q&s=10,https://www.google.com/maps/vt/data=NUMagNNcA95e8URswGnTeyR9Zrf9IQisDUy7ADpkbM1NLXSefUGT-eVOusAJi_Saw6CXbK-RU3_1w8G39o11TVNV0BidfpeCuPyOsbzd5LMFvR2KejE,https://www.google.com/maps/place//data=!4m2!3m1!1s0x882e9298f94f48bb:0xc8bd19877b95483a?sa=X&ved=2ahUKEwjQrrqtxumPAxXupIkEHdYkKrwQ9eIBegQIEhAA&hl=en&gl=ca,https://serpapi.com/search.json?data=%214m2%213m1%211s0x882e9298f94f48bb%3A0xc8bd19877b95483a&engine=google_maps&gl=ca&google_domain=google.com&hl=en&q=events+in+London%2C+Ontario&start=0&type=place,4.7,1258.0,"https://www.google.com/search?sca_esv=fba13440f52890fe&gl=ca&hl=en&q=Grand+Theatre&ludocid=14464745647868561466&ibp=gwp%3B0,7"
Industry Night at the Richmond Tavern!,Sep 21,"Sun, Sep 21, 8:00–11:55 p.m.","['The Richmond Tavern, 370 Richmond St', 'London, ON']",The Richmond Tavern,https://allevents.in/london/industry-night-at-the-richmond-tavern/200028872114838,"Every Sunday! Free pool, cheap beer, me and my friends! Richmond Tavern! History in the making! I spin everything Bring me your requests! div interested Stay in the loop for updates...",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfLzCHq-GjwMqGtsAsTCZkFjC7JnOK2QdCzS4hlpHLgt0SIOtzM_2rUgU&s,"[{'source': 'AllEvents', 'link': 'https://allevents.in/london/industry-night-at-the-richmond-tavern/200028872114838', 'link_type': 'more info'}]",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTtLx1iX5x2tjpOMiFOjCuMQ2J5h8vAiicwV0euoMTEk_mnFjD1R9m1f5r-QQ&s=10,https://www.google.com/maps/vt/data=8H3FKDIrIxPzPMvIdp6wR1GeTRQc_aRAsD2fAPskd3yQBxW2oinRDY6pmqNgcU-HOMcD31rCGJnKybPQlzML26XvL9XjiCluBPnDbR-8QAY4Cxt0hs8,https://www.google.com/maps/place//data=!4m2!3m1!1s0x882ef21cfe2da45b:0x59fe800e0b78d9b3?sa=X&ved=2ahUKEwjQrrqtxumPAxXupIkEHdYkKrwQ9eIBegQIGhAA&hl=en&gl=ca,https://serpapi.com/search.json?data=%214m2%213m1%211s0x882ef21cfe2da45b%3A0x59fe800e0b78d9b3&engine=google_maps&gl=ca&google_domain=google.com&hl=en&q=events+in+London%2C+Ontario&start=0&type=place,3.8,343.0,"https://www.google.com/search?sca_esv=fba13440f52890fe&gl=ca&hl=en&q=The+Richmond+Tavern&ludocid=6484761311270459827&ibp=gwp%3B0,7"
Friends of Fiddler’s Green,Sep 21,"Sun, Sep 21, 7:30 p.m.","[""Cuckoo's Nest Folk Club, 122 Carling St"", 'London, ON']",Cuckoo's Nest Folk Club,https://www.londontourism.ca/events/friends-of-fiddler%E2%80%99s-green,"Friends of Fiddler’s Green at The Cuckoo's Nest Folk Club on Sunday, September 21, 2025, in London Ontario. It has become a tradition for the Friends of Fiddler's Green to visit each season at the...",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRStFRcjhpEccwIsXb4ob2YO_9GNh8BVC6m2caHEfuo7H8E3usEMxWCpGk&s,"[{'source': 'Ticketscene.ca', 'link': 'https://www.ticketscene.ca/events/54700/', 'link_type': 'tickets'}, {'source': 'London Tourism', 'link': 'https://www.londontourism.ca/events/friends-of-fiddler%E2%80%99s-green', 'link_type': 'more info'}, {'source': 'Facebook', 'link': 'https://m.facebook.com/events/781194611238816/?acontext=%7B%22action_history%22%3A%22null%22%7D&ref_source=newsfeed&ref_mechanism=feed_attachment', 'link_type': 'more info'}, {'source': 'AllEvents', 'link': 'https://allevents.in/london/friends-of-fiddlers-green/200028526435516', 'link_type': 'more info'}]",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSH9-GNgHwlD88GqHzhKSLWRQGnu9umPdkz1_pTOJ-QOg&s,https://www.google.com/maps/vt/data=0Uo3UUTAsfyGhMmWkY_S9zmWHVfgkRprkFAsyp7rJvZZFT9UTvQ1DusiK71gsxasKpVxk8HEsUYzoXdRVBpnC5Mo8_ccnmYlmDpc2ZuZp8Y3i3ajPk4,https://www.google.com/maps/place//data=!4m2!3m1!1s0x882ef21d5e2a90bd:0xc757ce435c9a93ee?sa=X&ved=2ahUKEwjQrrqtxumPAxXupIkEHdYkKrwQ9eIBegQIIhAA&hl=en&gl=ca,https://serpapi.com/search.json?data=%214m2%213m1%211s0x882ef21d5e2a90bd%3A0xc757ce435c9a93ee&engine=google_maps&gl=ca&google_domain=google.com&hl=en&q=events+in+London%2C+Ontario&start=0&type=place,4.8,6.0,"https://www.google.com/search?sca_esv=fba13440f52890fe&gl=ca&hl=en&q=Cuckoo%27s+Nest+Folk+Club&ludocid=14364176325233251310&ibp=gwp%3B0,7"
EmpowerHerFestival — LULU MAGAZINE,Sep 21,"Sat, Sep 20, 12:00 p.m.–Sun, Sep 21, 6:00 p.m.","['Lulu Magazine, 4023 Meadowbrook Dr #106', 'London, ON']",,https://www.lulumagazine.ca/eventos/2025/4/11/empowerherfestival,EmpowerHer Fest: Celebrate. Connect. Inspire. What to Expect: Connect : Build meaningful relationships with inspiring women and share unforgettable experiences. Get Inspired : Hear empowering...,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSSCMq10YY5bXTBe3-UQKsfyql2ctao2u8kd72sHDb5s2QozikSfE_gUCw&s,"[{'source': 'LULU MAGAZINE', 'link': 'https://www.lulumagazine.ca/eventos/2025/4/11/empowerherfestival', 'link_type': 'more info'}]",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTLb4bMQ0fLMokcjbNK1R3AK-8U9LrtVa2Pb6h81ma7xKcyQtfY5M4MJD4WtQ&s=10,https://www.google.com/maps/vt/data=yh8g2rlvRUw3l7iRN1GR2X8UFzvKrj1uhL2Aj_lbS4MoHD8d6pzkHAwasxqn-oheTJyeTxnBlO6ccucSzxnENkjAjcbU8pb8MJi0eFA59TbQBZvb8I0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x882ef174b47156d9:0x802fa5c2871afc5f?sa=X&ved=2ahUKEwjQrrqtxumPAxXupIkEHdYkKrwQ9eIBegQIKhAA&hl=en&gl=ca,https://serpapi.com/search.json?data=%214m2%213m1%211s0x882ef174b47156d9%3A0x802fa5c2871afc5f&engine=google_maps&gl=ca&google_domain=google.com&hl=en&q=events+in+London%2C+Ontario&start=0&type=place,,,
Canada's NEXT BEST COMIC - Search Contest! LONDON,Sep 21,"Sep 10, 8:00 p.m.–Oct 8, 10:00 p.m.","['Toboggan Brewing Company, 585 Richmond St', 'London, ON']",Toboggan Brewing Company,https://www.eventbrite.ca/e/canadas-next-best-comic-search-contest-london-tickets-1479181153649,Canada’s top rising comics battle for the chance to open for the biggest names in comedy at Sorry! Comedy Festival in London this November!,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR9vY7MXNemb_uqLl6PMAK_ExY5pQmcJmmAqOa1iDfNkGsWdOp6XLsOGtI&s,"[{'source': 'Eventbrite.ca', 'link': 'https://www.eventbrite.ca/e/canadas-next-best-comic-search-contest-london-tickets-1479181153649', 'link_type': 'tickets'}]",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRr1nFyT29Rrqqs54vNcPATHo1OJ0Apn8Eu8W10d7IULVaCMrS18q_RlTZ0_w&s=10,https://www.google.com/maps/vt/data=KYB2Vs3OE7miD_SY8eoumuvp6iGz9VbC8Q9vGtNERIr8vN8G0AWHcVtwjcUFWq6W3BQzu4H31AqbEp0DIPn01fMWAGIiSc8ERuQr-syyXQb3BmxKdQA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x882ef2021cccdf55:0xe6645c9446c43f2a?sa=X&ved=2ahUKEwjQrrqtxumPAxXupIkEHdYkKrwQ9eIBegQIMhAA&hl=en&gl=ca,https://serpapi.com/search.json?data=%214m2%213m1%211s0x882ef2021cccdf55%3A0xe6645c9446c43f2a&engine=google_maps&gl=ca&google_domain=google.com&hl=en&q=events+in+London%2C+Ontario&start=0&type=place,4.3,1166.0,"https://www.google.com/search?sca_esv=fba13440f52890fe&gl=ca&hl=en&q=Toboggan+Brewing+Company&ludocid=16601495918306672426&ibp=gwp%3B0,7"
"LONDON, ONTARIO – KOOZYS",Oct 18,"Sat, Oct 18","['Koozys Pub & Eatery, 769 Southdale Rd E', 'London, ON']",Koozys Pub & Eatery,https://leashband.com/events/london-ontario-koozys/,,https://www.google.com/maps/vt/data=33T3XLMqxBUP8_1uDfgj0J7RsgsmGqmEDP-duwQAlKpwjKlucfMSCtPaltUPzEdyPQbAupfEFCILA6qPXE1FBfuF51awt8yV5HtT_sLAt0OqqfxuO78,"[{'source': 'Leash - A Tribute To Pearl Jam', 'link': 'https://leashband.com/events/london-ontario-koozys/', 'link_type': 'more info'}]",,https://www.google.com/maps/vt/data=33T3XLMqxBUP8_1uDfgj0J7RsgsmGqmEDP-duwQAlKpwjKlucfMSCtPaltUPzEdyPQbAupfEFCILA6qPXE1FBfuF51awt8yV5HtT_sLAt0OqqfxuO78,https://www.google.com/maps/place//data=!4m2!3m1!1s0x882ef3a5878876bf:0x2af013d616686493?sa=X&ved=2ahUKEwjQrrqtxumPAxXupIkEHdYkKrwQ9eIBegQIOhAA&hl=en&gl=ca,https://serpapi.com/search.json?data=%214m2%213m1%211s0x882ef3a5878876bf%3A0x2af013d616686493&engine=google_maps&gl=ca&google_domain=google.com&hl=en&q=events+in+London%2C+Ontario&start=0&type=place,4.5,142.0,"https://www.google.com/search?sca_esv=fba13440f52890fe&gl=ca&hl=en&q=Koozys+Pub+%26+Eatery&ludocid=3093994754223400083&ibp=gwp%3B0,7"
Oktober Fall Fest 2025,Sep 25,Sep 25–Oct 12,"['Beer Kitchen, 100 Kellogg Ln', 'London, ON']",Beer Kitchen,https://www.londontourism.ca/events/oktober-fall-fest-2025,"Oktober Fall Fest is back at 100 Kellogg Lane from Thursday, September 25 to Sunday, October 12, 2025, in London Ontario.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNAwVbGIE8BvsOB2fj9ADNMiU_3cdHVXctu-TinKyHOMIVeKcKxnLHu6U&s,"[{'source': 'London Tourism', 'link': 'https://www.londontourism.ca/events/oktober-fall-fest-2025', 'link_type': 'more info'}, {'source': 'Beer Kitchen', 'link': 'https://100kbeerkitchen.com/events/category/free-live-music/day/2025-09-27/', 'link_type': 'more info'}]",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSB3jeOknVFyNh2lDBPn29GdQsldqW0cMxifzUTWlL0kOJP0hc1Rp-69OynjQ&s=10,https://www.google.com/maps/vt/data=xPQaS9UVlTufPv0pxt0NP0u-7E-3Sbi7P5vOmm76feTyx3tT40lkmqKaQrgC5utcPoieIkbEWbnn2SpRqGYU7fvfxHs0CzYZfP0bh5CUmwiQtxd8gcY,https://www.google.com/maps/place//data=!4m2!3m1!1s0x882eedf7be6125f7:0x828292764aa5d10d?sa=X&ved=2ahUKEwjQrrqtxumPAxXupIkEHdYkKrwQ9eIBegQIQhAA&hl=en&gl=ca,https://serpapi.com/search.json?data=%214m2%213m1%211s0x882eedf7be6125f7%3A0x828292764aa5d10d&engine=google_maps&gl=ca&google_domain=google.com&hl=en&q=events+in+London%2C+Ontario&start=0&type=place,4.1,121.0,"https://www.google.com/search?sca_esv=fba13440f52890fe&gl=ca&hl=en&q=Beer+Kitchen&ludocid=9404240008659194125&ibp=gwp%3B0,7"
London Reggae Fest,Sep 28,"Sun, Sep 28, 10:00 a.m.–10:00 p.m.","['Covent Garden Market, 130 King St', 'London, ON']",Covent Garden Market,https://www.londontourism.ca/events/london-reggae-fest,"London Reggae Fest at Covent Garden Market on Sunday, September 28, 2025, in Downtown London Ontario.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQxxbz9Q8m8Fyg5wSnKwEEk0d4cUSSzLsIwhQGB_ZC1s7sm3hKPqzHUH1k&s,"[{'source': 'Tourism London', 'link': 'https://www.londontourism.ca/events/london-reggae-fest', 'link_type': 'more info'}, {'source': 'Facebook', 'link': 'https://www.facebook.com/events/covent-garden-market-london-ontario/london-reggae-fest/9984464621618345/', 'link_type': 'more info'}, {'source': 'AllEvents', 'link': 'https://allevents.in/london/london-reggae-fest/200028219129626', 'link_type': 'more info'}]",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTSU6P5rsDmh_4a5KgOD30jU794Wzq11VGd2e1rnFTiNFu2P24slubnJ9EIOg&s=10,https://www.google.com/maps/vt/data=oAdfPFqSet3w7WbZ_JV8a3f_MthDFWDE6-GFg-Krn1aEKpHFYJKnUFvtkJ2tHZYNza63lg4RFmbFDVJqFGuDJcQapx2dh94Ch4qbwkv9ghOyKY375GA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x882ef21daa2caff1:0xb806df3afb09b5e5?sa=X&ved=2ahUKEwjQrrqtxumPAxXupIkEHdYkKrwQ9eIBegQIShAA&hl=en&gl=ca,https://serpapi.com/search.json?data=%214m2%213m1%211s0x882ef21daa2caff1%3A0xb806df3afb09b5e5&engine=google_maps&gl=ca&google_domain=google.com&hl=en&q=events+in+London%2C+Ontario&start=0&type=place,4.5,4385.0,"https://www.google.com/search?sca_esv=fba13440f52890fe&gl=ca&hl=en&q=Covent+Garden+Market&ludocid=13260531597251818981&ibp=gwp%3B0,7"
